customer_id,age,gender,subscription_tenure_months,monthly_charges,num_support_tickets,payment_method,plan,region,churn
CUST1029,44,Male,43,38.53,2,PayPal,Premium,South,0
CUST1030,59,Male,2,49.11,2,PayPal,Standard,East,0
CUST1031,45,Female,60,79.65,0,PayPal,Premium,East,0
CUST1032,33,Female,23,64.17,1,Credit Card,Basic,North,0
CUST1033,32,Female,19,90.33,0,Bank Transfer,Premium,South,0
CUST1034,64,Male,31,49.9,1,Bank Transfer,Basic,West,0
CUST1035,61,Female,51,64.64,3,Bank Transfer,Premium,East,0
CUST1036,20,Male,5,66.82,0,Credit Card,Standard,North,0
CUST1037,54,Male,19,63.25,2,PayPal,Standard,South,1
CUST1038,24,Male,34,73.24,3,PayPal,Standard,West,1
CUST1039,38,Female,10,31.37,4,Credit Card,Premium,East,1
CUST1040,26,Female,25,56.11,1,Credit Card,Basic,West,1
CUST1041,56,Female,2,19.38,3,Bank Transfer,Standard,East,1
CUST1042,35,Male,11,44.61,0,Bank Transfer,Premium,North,1
CUST1043,21,Female,50,53.89,5,Credit Card,Standard,West,1
CUST1044,42,Male,31,68.7,3,Bank Transfer,Basic,South,1
CUST1045,31,Female,56,95.55,2,PayPal,Standard,South,0
CUST1046,26,Male,15,64.06,0,Credit Card,Standard,East,0
CUST1047,43,Male,9,76.92,1,Credit Card,Premium,South,0
CUST1048,19,Female,23,55.56,0,PayPal,Standard,West,0
CUST1049,37,Male,19,67.07,2,PayPal,Standard,North,1
CUST1050,45,Female,9,16.38,0,PayPal,Premium,East,1
CUST1051,64,Female,35,32.9,0,Bank Transfer,Standard,West,0
CUST1052,24,Male,21,42.57,2,Credit Card,Basic,East,1
CUST1053,61,Female,9,52.52,2,Bank Transfer,Basic,North,0
CUST1054,25,Male,28,14.11,1,PayPal,Standard,East,0
CUST1055,64,Female,46,22.6,2,Bank Transfer,Basic,South,0
CUST1056,52,Non-Binary,51,34.91,1,PayPal,Premium,South,0
CUST1057,31,Female,7,97.44,1,Bank Transfer,Standard,East,1
CUST1058,34,Male,16,39.82,1,Bank Transfer,Basic,North,0
CUST1059,53,Non-Binary,16,53.38,4,PayPal,Standard,North,1
CUST1060,57,Female,60,27.65,0,Bank Transfer,Standard,South,0
CUST1061,21,Male,33,64.97,2,Credit Card,Premium,North,1
CUST1062,19,Male,4,35.26,0,Bank Transfer,Premium,East,0
CUST1063,23,Female,4,28.63,1,Bank Transfer,Standard,West,0
CUST1064,59,Female,39,56.49,1,Credit Card,Standard,East,0
CUST1065,21,Female,40,10.5,1,PayPal,Standard,South,1
CUST1066,46,Female,17,10.69,1,Credit Card,Standard,South,0
CUST1067,35,Female,37,29.72,5,Bank Transfer,Basic,South,0
CUST1068,43,Male,39,13.3,1,PayPal,Basic,North,0
CUST1069,61,Male,60,19.72,1,Bank Transfer,Standard,East,0
CUST1070,51,Male,52,40.5,0,Bank Transfer,Basic,West,0
CUST1071,27,Female,29,82.23,3,Credit Card,Basic,East,0
CUST1072,53,Male,52,61.48,2,Credit Card,Standard,West,0
CUST1073,31,Female,36,56.14,0,PayPal,Basic,East,0
CUST1074,48,Female,60,36.41,1,PayPal,Standard,South,0
CUST1075,65,Female,38,93.86,0,PayPal,Standard,West,1
CUST1076,32,Male,39,45.73,2,Bank Transfer,Premium,East,0
CUST1077,25,Female,50,17.84,1,Credit Card,Standard,North,0
CUST1078,31,Male,37,65.54,1,Credit Card,Basic,North,0
CUST1079,40,Female,52,20.25,3,Credit Card,Standard,East,0
CUST1080,57,Male,35,41.07,3,PayPal,Premium,South,0
CUST1081,38,Male,7,55.67,4,Credit Card,Premium,West,0
CUST1082,33,Female,27,88.68,2,Credit Card,Standard,East,1
CUST1083,62,Male,28,54.42,1,Credit Card,Standard,North,0
CUST1084,35,Male,22,73.2,3,PayPal,Premium,West,1
CUST1085,64,Female,14,99.35,0,Credit Card,Basic,North,1
CUST1086,41,Female,7,21.83,5,PayPal,Standard,North,1
CUST1087,43,Female,37,34.73,0,Credit Card,Standard,East,0
CUST1088,42,Female,22,45.51,2,Credit Card,Basic,North,0
CUST1089,62,Female,5,47.96,2,Credit Card,Standard,West,1
CUST1090,58,Male,55,46.99,3,PayPal,Basic,South,1
CUST1091,46,Male,2,91.68,1,PayPal,Standard,East,1
CUST1092,32,Male,27,74.26,2,Credit Card,Premium,West,0
CUST1093,62,Non-Binary,21,64.71,2,Bank Transfer,Basic,East,1
CUST1094,18,Female,54,37.84,1,PayPal,Premium,North,0
CUST1095,42,Male,38,84.14,0,PayPal,Basic,North,0
CUST1096,24,Female,15,95.96,5,Credit Card,Standard,West,1
CUST1097,26,Non-Binary,21,83.91,2,Bank Transfer,Basic,West,0
CUST1098,41,Male,10,10.14,0,Credit Card,Premium,South,0
CUST1099,18,Female,23,67.28,1,PayPal,Standard,West,0
CUST1100,61,Female,58,14.6,3,PayPal,Standard,West,0
CUST1101,25,Female,56,33.18,0,Credit Card,Premium,East,0
CUST1102,41,Male,39,15.36,0,Credit Card,Standard,North,0
CUST1103,28,Female,5,64.34,1,Bank Transfer,Premium,West,1
CUST1104,34,Non-Binary,1,71.79,4,Bank Transfer,Standard,South,0
CUST1105,25,Female,13,20.3,2,PayPal,Premium,West,1
CUST1106,52,Female,21,44.55,1,Bank Transfer,Standard,North,1
CUST1107,52,Non-Binary,26,51.06,2,Bank Transfer,Basic,West,1
CUST1108,50,Female,50,43.21,4,PayPal,Standard,East,0
CUST1109,22,Male,45,20.89,0,PayPal,Basic,North,0
CUST1110,59,Female,21,47.71,1,PayPal,Standard,West,0
CUST1111,56,Female,53,77.61,4,PayPal,Standard,East,0
CUST1112,58,Male,18,16.39,1,Credit Card,Standard,North,0
CUST1113,45,Female,37,17.22,0,PayPal,Basic,West,0
CUST1114,24,Non-Binary,45,41.93,1,PayPal,Basic,East,1
CUST1115,26,Non-Binary,32,94.76,1,PayPal,Standard,South,0
CUST1116,25,Female,36,70.17,0,Bank Transfer,Premium,East,0
CUST1117,29,Male,17,71.08,0,PayPal,Standard,South,0
CUST1118,51,Non-Binary,35,42.57,4,Credit Card,Standard,West,1
CUST1119,50,Female,49,63.43,2,Credit Card,Standard,East,0
CUST1120,65,Male,60,10.91,1,PayPal,Standard,South,1
CUST1121,40,Non-Binary,11,67.25,1,Credit Card,Basic,North,1
CUST1122,41,Female,21,92.2,1,Bank Transfer,Standard,East,0
CUST1123,54,Female,52,65.13,0,PayPal,Basic,West,0
CUST1124,52,Female,55,88.63,1,Credit Card,Premium,North,0
CUST1125,61,Male,53,75.16,2,Credit Card,Basic,South,1
CUST1126,57,Male,26,20.85,0,PayPal,Standard,East,1
CUST1127,39,Male,4,91.22,1,Credit Card,Basic,East,1
CUST1128,44,Female,34,15.98,2,PayPal,Basic,West,1
CUST1129,52,Male,52,58.06,2,Credit Card,Standard,North,0
CUST1130,18,Male,48,22.79,1,Bank Transfer,Basic,East,0
CUST1131,52,Male,60,11.05,1,Credit Card,Basic,East,0
CUST1132,54,Female,18,47.98,1,Credit Card,Standard,North,0
CUST1133,64,Non-Binary,40,36.55,1,PayPal,Basic,East,0
CUST1134,31,Male,35,53.74,1,Credit Card,Basic,North,0
CUST1135,20,Male,41,61.95,3,PayPal,Premium,North,1
CUST1136,18,Female,29,13.94,2,Bank Transfer,Standard,North,1
CUST1137,22,Female,52,21.07,4,PayPal,Premium,West,0
CUST1138,43,Male,29,60.28,2,PayPal,Premium,North,0
CUST1139,31,Female,38,40.89,2,Credit Card,Standard,North,0
CUST1140,56,Male,42,75.63,2,Bank Transfer,Basic,South,1
CUST1141,44,Male,21,68.71,2,PayPal,Standard,South,0
CUST1142,26,Female,42,86.1,0,Credit Card,Premium,West,0
CUST1143,32,Male,13,72.32,1,Credit Card,Standard,North,0
CUST1144,32,Non-Binary,49,48.69,2,PayPal,Standard,South,0
CUST1145,43,Male,41,70.57,1,Credit Card,Basic,South,1
CUST1146,59,Female,17,34.78,1,PayPal,Premium,East,0
CUST1147,30,Female,56,37.57,1,PayPal,Standard,North,0
CUST1148,49,Male,9,81.01,1,PayPal,Premium,South,1
CUST1149,56,Female,41,50.18,1,Bank Transfer,Basic,West,1
CUST1150,49,Male,1,81.85,0,PayPal,Basic,East,0
CUST1151,21,Non-Binary,2,84.02,2,Credit Card,Basic,East,0
CUST1152,47,Male,60,87.18,2,Bank Transfer,Standard,North,0
CUST1153,54,Male,48,92.5,2,Credit Card,Basic,North,1
CUST1154,40,Male,29,48.79,0,Bank Transfer,Basic,East,1
CUST1155,56,Non-Binary,33,38.7,3,Bank Transfer,Premium,West,0
CUST1156,62,Female,10,62.4,1,Bank Transfer,Basic,North,0
CUST1157,32,Female,50,43.41,0,Bank Transfer,Premium,North,0
CUST1158,60,Male,58,64.1,1,Credit Card,Standard,East,0
CUST1159,46,Female,60,73.5,1,PayPal,Premium,East,0
CUST1160,53,Male,40,71.96,4,Credit Card,Standard,North,0
CUST1161,30,Female,21,43.71,1,PayPal,Premium,South,0
CUST1162,49,Male,28,25.02,0,Credit Card,Premium,North,0
CUST1163,24,Male,11,48.75,2,Bank Transfer,Basic,South,1
CUST1164,39,Male,55,22.83,1,Bank Transfer,Basic,East,0
CUST1165,45,Female,34,90.11,1,PayPal,Basic,South,0
CUST1166,19,Female,8,41.13,1,PayPal,Standard,West,0
CUST1167,59,Male,59,23.9,1,Credit Card,Premium,East,0
CUST1168,62,Female,22,12.29,1,PayPal,Standard,North,0
CUST1169,23,Female,8,68.12,3,Credit Card,Standard,North,1
CUST1170,45,Female,49,67.32,1,PayPal,Basic,East,1
CUST1171,45,Male,15,40.65,0,PayPal,Premium,East,0
CUST1172,61,Male,17,16.45,0,PayPal,Premium,West,0
CUST1173,61,Female,60,46.87,1,Bank Transfer,Basic,East,0
CUST1174,37,Male,23,38.01,3,Bank Transfer,Standard,North,0
CUST1175,47,Male,24,70.94,0,Credit Card,Basic,West,1
CUST1176,28,Female,45,64.52,0,PayPal,Standard,North,0
CUST1177,45,Non-Binary,19,42.81,2,Credit Card,Standard,South,0
CUST1178,42,Male,5,29.61,0,PayPal,Basic,East,1
CUST1179,56,Male,32,98.92,0,Bank Transfer,Standard,South,0
CUST1180,50,Female,44,50.86,1,Bank Transfer,Standard,North,0
CUST1181,18,Male,1,71.94,0,PayPal,Standard,South,1
CUST1182,44,Male,23,22.65,1,PayPal,Standard,South,0
CUST1183,30,Male,37,53.7,1,Bank Transfer,Basic,North,1
CUST1184,58,Female,8,12.48,0,Bank Transfer,Standard,North,0
CUST1185,20,Female,13,55.49,2,Credit Card,Standard,East,1
CUST1186,56,Male,8,96.76,1,Bank Transfer,Standard,South,0
CUST1187,23,Male,57,44.58,1,PayPal,Basic,West,0
CUST1188,25,Male,23,13.51,3,Credit Card,Standard,West,0
CUST1189,44,Female,43,12.79,0,PayPal,Premium,North,0
CUST1190,26,Male,1,44.92,0,Credit Card,Basic,North,1
CUST1191,54,Male,45,24.4,3,PayPal,Standard,South,0
CUST1192,50,Female,51,12.1,1,Bank Transfer,Basic,North,0
CUST1193,59,Male,24,78.06,3,PayPal,Standard,West,1
CUST1194,61,Female,35,51.27,2,Credit Card,Basic,East,1
CUST1195,41,Male,24,36.03,4,PayPal,Standard,East,0
CUST1196,32,Male,17,91.01,2,Credit Card,Standard,South,0
CUST1197,49,Male,5,20.45,4,PayPal,Standard,East,1
CUST1198,49,Female,20,96.03,1,Bank Transfer,Standard,North,1
CUST1199,41,Female,21,38.26,1,Bank Transfer,Standard,North,0
CUST1200,58,Female,40,89.96,3,PayPal,Standard,North,0
CUST1201,29,Male,58,64.26,2,PayPal,Basic,North,0
CUST1202,56,Female,31,84.4,0,PayPal,Basic,South,0
CUST1203,19,Male,46,98.56,0,Credit Card,Premium,East,0
CUST1204,20,Male,36,35.96,1,PayPal,Basic,West,1
CUST1205,54,Female,11,96.5,2,PayPal,Standard,East,1
CUST1206,34,Male,52,45.05,1,Credit Card,Premium,North,0
CUST1207,19,Male,15,44.7,3,Bank Transfer,Basic,West,0
CUST1208,19,Male,19,40.63,3,PayPal,Standard,South,1
CUST1209,45,Male,7,58.73,0,PayPal,Standard,North,0
CUST1210,40,Male,51,23.87,0,Bank Transfer,Premium,North,0
CUST1211,54,Female,28,59.83,2,Bank Transfer,Premium,West,0
CUST1212,49,Male,51,58.75,4,Credit Card,Standard,South,0
CUST1213,50,Female,43,78.57,1,PayPal,Basic,West,0
CUST1214,18,Female,58,85.03,0,PayPal,Standard,South,0
CUST1215,36,Male,5,49.64,1,Credit Card,Standard,North,0
CUST1216,19,Male,5,37.21,1,Bank Transfer,Standard,East,0
CUST1217,61,Male,30,33.34,2,Credit Card,Basic,North,0
CUST1218,43,Female,54,27.52,1,Bank Transfer,Basic,East,0
CUST1219,49,Male,32,15.19,2,Credit Card,Standard,East,0
CUST1220,23,Female,8,40.82,0,Bank Transfer,Standard,South,1
CUST1221,49,Male,10,34.32,2,Credit Card,Standard,West,1
CUST1222,21,Female,38,96.98,4,Bank Transfer,Standard,South,0
CUST1223,28,Male,47,60.19,3,Bank Transfer,Premium,North,0
CUST1224,34,Male,32,41.25,0,Bank Transfer,Standard,West,1
CUST1225,55,Non-Binary,48,62.24,2,Bank Transfer,Basic,East,0
CUST1226,41,Female,28,22.53,2,Bank Transfer,Basic,East,1
CUST1227,22,Male,17,49.96,1,PayPal,Basic,North,1
CUST1228,51,Female,31,66.36,0,Bank Transfer,Premium,West,0
CUST1229,23,Female,8,54.0,2,PayPal,Standard,North,0
CUST1230,39,Female,40,46.16,2,Bank Transfer,Standard,North,0
CUST1231,28,Female,25,99.45,0,PayPal,Standard,South,0
CUST1232,65,Male,9,89.23,1,PayPal,Standard,North,1
CUST1233,33,Male,2,66.11,3,Credit Card,Premium,West,1
CUST1234,50,Male,15,61.24,2,Bank Transfer,Standard,North,0
CUST1235,26,Female,50,65.86,0,Credit Card,Basic,West,0
CUST1236,23,Female,3,28.12,0,Credit Card,Basic,East,1
CUST1237,33,Male,49,45.56,2,Bank Transfer,Standard,North,0
CUST1238,46,Male,36,13.55,1,Credit Card,Premium,West,0
CUST1239,20,Female,4,52.8,1,Bank Transfer,Standard,East,0
CUST1240,37,Non-Binary,14,58.87,3,Credit Card,Premium,West,0
CUST1241,53,Female,41,30.5,2,Bank Transfer,Standard,East,1
CUST1242,36,Male,41,96.76,0,Bank Transfer,Basic,South,1
CUST1243,43,Male,25,91.85,0,Bank Transfer,Basic,North,0
CUST1244,20,Male,58,74.99,2,PayPal,Basic,North,1
CUST1245,36,Non-Binary,55,58.0,0,Credit Card,Standard,East,0
CUST1246,37,Male,50,88.3,3,PayPal,Basic,South,0
CUST1247,49,Female,10,21.76,1,Credit Card,Standard,West,1
CUST1248,24,Male,21,81.15,1,Credit Card,Standard,South,0
CUST1249,58,Female,36,21.23,3,Credit Card,Standard,West,1
CUST1250,50,Female,12,81.48,1,PayPal,Basic,West,1
CUST1251,57,Female,27,34.82,0,Credit Card,Standard,North,0
CUST1252,56,Male,40,88.94,4,PayPal,Standard,East,0
CUST1253,35,Male,2,94.96,1,Bank Transfer,Standard,North,0
CUST1254,57,Male,54,23.39,3,Credit Card,Premium,North,0
CUST1255,18,Non-Binary,13,51.64,1,Credit Card,Basic,North,0
CUST1256,28,Female,53,98.29,3,Bank Transfer,Premium,West,0
CUST1257,45,Female,32,53.51,1,Bank Transfer,Standard,North,1
CUST1258,42,Female,31,87.72,0,Credit Card,Standard,West,0
CUST1259,40,Female,16,62.99,1,Bank Transfer,Standard,East,0
CUST1260,48,Male,32,43.78,2,PayPal,Standard,West,0
CUST1261,47,Non-Binary,32,35.72,1,PayPal,Basic,West,0
CUST1262,59,Male,60,28.29,0,Credit Card,Standard,South,0
CUST1263,52,Male,34,78.56,1,PayPal,Standard,North,0
CUST1264,24,Female,11,44.79,1,PayPal,Standard,North,0
CUST1265,33,Male,10,56.01,2,Credit Card,Standard,North,1
CUST1266,43,Male,15,54.31,3,Bank Transfer,Premium,North,1
CUST1267,65,Female,17,61.96,5,Credit Card,Standard,South,1
CUST1268,19,Male,40,87.9,3,PayPal,Basic,South,1
CUST1269,18,Female,18,98.27,2,Credit Card,Standard,South,1
CUST1270,65,Male,55,46.68,3,Credit Card,Standard,South,0
CUST1271,29,Male,9,84.48,2,PayPal,Standard,North,0
CUST1272,22,Male,25,78.81,2,PayPal,Standard,West,0
CUST1273,54,Male,40,61.62,1,Credit Card,Premium,East,0
CUST1274,49,Female,59,96.04,1,PayPal,Basic,South,1
CUST1275,26,Male,14,28.04,1,PayPal,Standard,West,0
CUST1276,58,Female,60,19.83,4,PayPal,Premium,South,0
CUST1277,52,Female,58,86.86,3,PayPal,Premium,North,0
CUST1278,36,Female,25,49.52,1,PayPal,Standard,North,1
CUST1279,65,Non-Binary,50,86.23,1,PayPal,Premium,West,0
CUST1280,33,Female,22,90.38,3,Bank Transfer,Basic,West,1
CUST1281,20,Male,52,15.62,1,Credit Card,Premium,West,0
CUST1282,37,Male,30,89.51,1,PayPal,Standard,North,0
CUST1283,41,Male,20,50.35,1,Credit Card,Basic,North,1
CUST1284,50,Female,21,55.94,1,Bank Transfer,Basic,East,1
CUST1285,41,Male,44,66.39,0,PayPal,Standard,West,0
CUST1286,28,Female,32,93.37,3,Credit Card,Basic,East,0
CUST1287,25,Female,51,11.72,1,PayPal,Standard,South,1
CUST1288,53,Male,46,52.92,0,PayPal,Basic,East,0
CUST1289,55,Female,49,71.89,2,PayPal,Basic,South,0
CUST1290,57,Male,56,75.04,1,PayPal,Standard,South,0
CUST1291,37,Male,21,72.33,2,PayPal,Standard,East,1
CUST1292,52,Female,35,22.1,1,PayPal,Standard,West,0
CUST1293,65,Female,58,36.95,2,PayPal,Standard,South,0
CUST1294,42,Female,32,42.28,0,Bank Transfer,Premium,West,0
CUST1295,52,Male,30,82.4,2,Bank Transfer,Standard,North,0
CUST1296,42,Male,55,35.09,1,PayPal,Standard,South,0
CUST1297,46,Female,39,28.96,2,PayPal,Standard,North,0
CUST1298,35,Female,49,96.17,3,Bank Transfer,Basic,East,1
CUST1299,63,Female,12,10.8,1,Bank Transfer,Basic,West,0
CUST1300,35,Male,41,99.8,2,Bank Transfer,Standard,East,0
CUST1301,19,Female,47,70.91,1,PayPal,Premium,South,0
CUST1302,52,Male,18,84.56,3,Credit Card,Basic,North,1
CUST1303,33,Male,21,36.52,1,Credit Card,Basic,South,1
CUST1304,58,Non-Binary,13,11.29,1,Credit Card,Basic,East,1
CUST1305,53,Male,21,76.41,1,Credit Card,Premium,West,0
CUST1306,50,Non-Binary,8,85.07,1,PayPal,Standard,West,0
CUST1307,21,Male,46,76.64,0,Credit Card,Basic,South,1
CUST1308,50,Male,40,22.86,1,Bank Transfer,Standard,South,1
CUST1309,31,Female,46,77.81,1,Bank Transfer,Standard,North,0
CUST1310,38,Female,7,79.2,1,Credit Card,Standard,East,1
CUST1311,65,Female,23,69.27,1,Bank Transfer,Basic,South,1
CUST1312,37,Female,44,78.95,3,PayPal,Premium,North,0
CUST1313,25,Female,32,86.13,0,Credit Card,Standard,South,0
CUST1314,24,Female,11,65.22,1,Credit Card,Standard,West,1
CUST1315,20,Female,22,17.97,2,PayPal,Basic,North,1
CUST1316,34,Male,22,53.89,0,Bank Transfer,Standard,North,0
CUST1317,50,Female,43,16.99,2,PayPal,Standard,South,0
CUST1318,65,Male,25,46.68,1,PayPal,Standard,East,0
CUST1319,29,Non-Binary,22,46.64,3,Bank Transfer,Basic,West,1
CUST1320,39,Non-Binary,28,15.94,1,PayPal,Standard,East,0
CUST1321,39,Male,29,41.39,4,Bank Transfer,Basic,North,1
CUST1322,63,Female,13,19.99,0,Bank Transfer,Standard,East,1
CUST1323,47,Non-Binary,18,82.74,2,PayPal,Premium,North,1
CUST1324,55,Male,2,95.29,1,Bank Transfer,Standard,East,0
CUST1325,55,Female,29,16.51,1,PayPal,Standard,South,1
CUST1326,62,Non-Binary,21,95.96,6,Bank Transfer,Standard,East,1
CUST1327,25,Male,15,57.03,2,Credit Card,Standard,North,0
CUST1328,44,Female,52,36.96,1,Bank Transfer,Premium,West,0
CUST1329,44,Male,27,16.92,2,Bank Transfer,Basic,West,1
CUST1330,51,Non-Binary,50,55.06,5,PayPal,Standard,West,1
CUST1331,38,Non-Binary,31,81.51,1,Bank Transfer,Standard,North,1
CUST1332,47,Non-Binary,15,73.64,3,Credit Card,Standard,East,0
CUST1333,50,Female,51,14.52,1,Credit Card,Standard,West,0
CUST1334,45,Female,23,16.56,1,Bank Transfer,Standard,West,0
CUST1335,64,Female,24,46.26,0,Bank Transfer,Premium,West,0
CUST1336,50,Male,44,36.58,3,Credit Card,Premium,South,0
CUST1337,22,Female,13,30.91,3,PayPal,Standard,North,0
CUST1338,65,Male,22,35.29,2,Credit Card,Standard,North,0
CUST1339,36,Female,43,82.31,1,Credit Card,Premium,North,0
CUST1340,21,Male,37,93.63,1,Bank Transfer,Basic,North,0
CUST1341,52,Male,33,46.46,2,Bank Transfer,Basic,North,0
CUST1342,34,Male,56,91.55,0,Credit Card,Standard,South,0
CUST1343,61,Female,3,38.93,0,PayPal,Premium,East,1
CUST1344,45,Male,54,52.88,2,Credit Card,Premium,South,0
CUST1345,47,Female,19,30.34,2,Credit Card,Standard,West,0
CUST1346,46,Male,23,67.64,2,PayPal,Basic,South,0
CUST1347,63,Male,29,98.11,0,Credit Card,Standard,North,0
CUST1348,23,Female,30,64.31,0,Credit Card,Basic,South,1
CUST1349,52,Female,39,42.2,1,Bank Transfer,Basic,North,1
CUST1350,58,Male,44,68.3,2,PayPal,Standard,South,1
CUST1351,54,Female,47,21.06,0,Bank Transfer,Basic,North,0
CUST1352,41,Female,25,89.98,1,Bank Transfer,Premium,West,0
CUST1353,46,Female,37,55.28,1,PayPal,Standard,North,0
CUST1354,63,Male,47,50.44,3,PayPal,Standard,South,0
CUST1355,48,Male,8,62.73,0,Credit Card,Basic,West,1
CUST1356,52,Female,42,66.23,0,Bank Transfer,Standard,South,1
CUST1357,50,Male,58,16.46,1,PayPal,Basic,West,1
CUST1358,38,Female,16,71.44,2,Bank Transfer,Premium,East,1
CUST1359,49,Female,8,31.77,1,Bank Transfer,Premium,East,1
CUST1360,40,Non-Binary,1,74.26,4,PayPal,Standard,East,1
CUST1361,50,Female,44,84.03,2,Credit Card,Basic,South,1
CUST1362,20,Non-Binary,5,82.36,0,Bank Transfer,Premium,South,0
CUST1363,35,Male,3,59.73,1,PayPal,Standard,West,1
CUST1364,42,Female,1,56.82,3,Credit Card,Basic,West,1
CUST1365,59,Male,4,22.86,2,Bank Transfer,Standard,West,1
CUST1366,48,Female,40,79.78,1,PayPal,Premium,West,0
CUST1367,20,Female,35,34.43,0,Bank Transfer,Basic,North,1
CUST1368,57,Female,32,54.7,0,PayPal,Basic,East,0
CUST1369,63,Non-Binary,42,35.58,3,PayPal,Premium,North,0
CUST1370,41,Female,34,22.04,3,Bank Transfer,Basic,North,1
CUST1371,49,Male,43,66.66,0,Bank Transfer,Basic,North,0
CUST1372,64,Male,25,14.89,2,PayPal,Standard,North,0
CUST1373,39,Female,10,77.38,0,Credit Card,Premium,East,0
CUST1374,40,Male,21,38.58,4,Bank Transfer,Standard,North,1
CUST1375,19,Male,46,10.01,0,PayPal,Premium,West,0
CUST1376,44,Male,39,56.0,1,PayPal,Standard,South,1
CUST1377,59,Male,27,14.22,2,Credit Card,Basic,West,0
CUST1378,19,Male,27,34.86,0,Credit Card,Premium,South,0
CUST1379,43,Male,2,73.63,1,Credit Card,Standard,West,1
CUST1380,34,Male,41,15.64,0,Bank Transfer,Basic,West,0
CUST1381,57,Male,48,85.54,3,PayPal,Standard,South,0
CUST1382,50,Non-Binary,13,10.34,3,PayPal,Standard,East,1
CUST1383,26,Male,9,32.21,1,PayPal,Basic,North,1
CUST1384,60,Male,52,76.68,2,Credit Card,Basic,West,0
CUST1385,65,Female,36,38.46,0,PayPal,Standard,East,0
CUST1386,56,Male,22,19.17,1,Bank Transfer,Premium,North,0
CUST1387,46,Non-Binary,42,42.42,3,Credit Card,Standard,East,0
CUST1388,59,Female,26,34.34,3,Credit Card,Premium,East,0
CUST1389,43,Male,58,85.84,0,Credit Card,Basic,North,0
CUST1390,52,Male,54,38.2,0,Credit Card,Basic,West,1
CUST1391,42,Female,12,81.0,1,Bank Transfer,Basic,East,0
CUST1392,41,Non-Binary,17,90.27,2,PayPal,Basic,West,0
CUST1393,30,Female,14,49.04,0,Bank Transfer,Basic,West,1
CUST1394,24,Female,14,91.89,1,PayPal,Standard,West,1
CUST1395,53,Male,57,43.96,2,Bank Transfer,Premium,North,0
CUST1396,62,Non-Binary,34,96.77,0,Credit Card,Premium,South,0
CUST1397,37,Male,53,18.04,0,Credit Card,Basic,West,1
CUST1398,18,Non-Binary,57,71.83,0,Bank Transfer,Premium,South,0
CUST1399,25,Female,20,54.44,2,Bank Transfer,Standard,South,0
CUST1400,63,Female,11,44.89,2,PayPal,Basic,East,1
CUST1401,33,Female,16,66.94,2,Bank Transfer,Premium,West,0
CUST1402,31,Male,51,73.35,1,Bank Transfer,Standard,West,0
CUST1403,29,Male,31,10.39,4,PayPal,Basic,West,0
CUST1404,40,Male,55,25.03,2,PayPal,Standard,South,0
CUST1405,32,Male,6,74.17,2,PayPal,Basic,North,1
CUST1406,45,Female,56,69.97,1,Bank Transfer,Standard,South,0
CUST1407,51,Male,19,96.94,1,PayPal,Standard,West,0
CUST1408,19,Male,37,78.49,2,Credit Card,Premium,West,1
CUST1409,49,Non-Binary,58,95.57,2,Credit Card,Basic,West,0
CUST1410,40,Female,4,73.23,1,Credit Card,Standard,South,1
CUST1411,39,Non-Binary,47,36.82,2,Bank Transfer,Standard,West,1
